date,bpc,bpd,bp,total
12/1/2012,2.3,0.15,5.13,3.56
1/1/2013,2.3,0.1,5.13,3.54
2/1/2013,2.35,0.1,5.06,3.52
3/1/2013,2.39,0.13,4.9,3.45
4/1/2013,2.49,0.13,4.89,3.47
5/1/2013,2.54,0.15,4.87,3.47
6/1/2013,2.36,0.11,4.62,3.25
7/1/2013,2.36,0.11,4.57,3.21
8/1/2013,2.32,0.1,4.46,3.13
9/1/2013,2.45,0.11,4.35,3.14
10/1/2013,2.4,0.11,4.22,3.06
11/1/2013,2.37,0.1,4.08,2.97
12/1/2013,2.26,0.08,3.97,2.86
1/1/2014,2.27,0.08,3.96,2.84
2/1/2014,2.34,0.09,3.92,2.86
3/1/2014,2.46,0.1,3.88,2.88
4/1/2014,2.58,0.09,3.87,2.92
5/1/2014,2.64,0.1,3.98,3
6/1/2014,2.54,0.12,3.87,2.9
7/1/2014,2.63,0.13,3.91,2.95
8/1/2014,2.71,0.12,3.89,2.97
9/1/2014,2.7,0.11,3.77,2.91
10/1/2014,2.86,0.13,3.74,2.96
11/1/2014,2.75,0.12,3.61,2.85
12/1/2014,2.55,0.11,3.55,2.73
1/1/2015,2.67,0.11,3.64,2.81
2/1/2015,2.82,0.12,3.58,2.85
3/1/2015,2.79,0.13,3.55,2.82
4/1/2015,2.93,0.14,3.72,2.95
5/1/2015,3.08,0.14,3.73,3.01
6/1/2015,2.83,0.15,3.74,2.92
7/1/2015,3,0.17,3.86,3.03
8/1/2015,3.12,0.18,3.95,3.12
9/1/2015,3.17,0.16,3.92,3.12
10/1/2015,3.36,0.15,3.99,3.24
11/1/2015,3.52,0.19,4.14,3.37
12/1/2015,3.46,0.14,4.22,3.37
1/1/2016,3.55,0.19,4.35,3.47
2/1/2016,3.54,0.27,4.43,3.5
3/1/2016,3.54,0.31,4.43,3.52
4/1/2016,3.62,0.44,4.61,3.65
5/1/2016,3.73,0.48,4.68,3.73
6/1/2016,3.36,0.42,4.55,3.51
7/1/2016,3.43,0.46,4.58,3.56
8/1/2016,3.59,0.46,4.59,3.64
9/1/2016,3.67,0.48,4.59,3.68
10/1/2016,3.81,1.42,4.54,3.84
11/1/2016,3.77,1.38,4.5,3.8
12/1/2016,3.57,1.41,4.44,3.7
1/1/2017,3.63,1.36,4.48,3.73
2/1/2017,3.75,1.5,4.34,3.76
3/1/2017,3.89,1.77,4.36,3.86
4/1/2017,4.1,1.85,4.28,3.94
5/1/2017,4.23,1.82,4.36,4.05
6/1/2017,3.78,1.92,4.15,3.74
7/1/2017,3.94,0.88,4.18,3.69
8/1/2017,3.91,0.82,4.24,3.71
9/1/2017,3.83,0.82,4.09,3.61
10/1/2017,3.92,0.84,4.06,3.63
11/1/2017,3.79,0.68,4.01,3.55
12/1/2017,3.27,0.65,3.84,3.25
